drink water: The head tilts backward, allowing the mouth to open for a refreshing sip; The hand holds a water container, guiding it toward the mouth for drinking; The arm executes a controlled lifting motion, bringing the water container closer for drinking; The hip remains relaxed as the body leans slightly forward for comfortable water intake; The leg provides support, maintaining balance whether sitting or standing while drinking water; The foot remains firmly planted, ensuring stability during the act of drinking water.
eat meal: Nods occasionally while bringing food to the mouth, displaying expressions of enjoyment; Grasps utensils or food items, coordinating precise movements for effective eating; Raises and lowers, transporting food from the plate to the mouth smoothly and efficiently; Maintains a comfortable sitting posture, contributing to overall stability during the meal; Positioned for balance, supporting the body while sitting or slightly adjusting for comfort; Rests on the ground, contributing to overall stability and balance during the act of eating.
brush teeth: Leans slightly forward, directing the toothbrush with precision for thorough teeth cleaning; Grips the toothbrush firmly, executing controlled and repetitive brushing motions for optimal cleaning; Moves in a coordinated manner, facilitating smooth and systematic tooth brushing motions; Maintains a stable standing posture, allowing for comfortable and effective teeth brushing; Stands with weight evenly distributed, contributing to stability during the teeth brushing process; Grounded for balance, providing a foundation for maintaining an upright posture while brushing teeth.
brush hair: Tilts slightly for access, guiding the brush through hair with precision for neatness; Grasps the hairbrush firmly, controlling smooth strokes to detangle and style hair; Executes rhythmic movements, facilitating the brushing process for well-groomed and styled hair; Maintains a comfortable stance, allowing flexibility to reach different sections of the hair; Supports balanced posture, enhancing stability during the hair-brushing activity; Provides a foundation for balance, ensuring stability while attending to the hair.
drop: Tilts slightly downward, observing the impending release or descent of the dropped object; Loosens the grip on the object, initiating the dropping action intentionally or accidentally; Guides the downward motion of the dropped object, influencing its trajectory and impact; Maintains balance and stability, reacting to the motion without direct involvement in the dropping; Adjusts posture to accommodate the act of dropping, ensuring a controlled and deliberate descent; Grounds the body, providing stability and absorbing any impact resulting from the dropped item.
pick up: Nods or tilts slightly downward, indicating visual attention and intention to pick up; Extends fingers and palm, grasping the target object with precision and control; Raises and positions itself to facilitate a smooth and coordinated motion for picking up; Shifts slightly for balance, supporting the body during the bending or crouching motion; Flexes at the knee, aiding in the lowering of the body for efficient picking up; Adjusts weight distribution, maintaining stability during the bending or crouching to pick up.
throw: Turns to focus on the target, aligning with the intended direction of the throw; Grips the object firmly, following a controlled motion to initiate the throwing action; Executes a dynamic and coordinated movement, propelling the object forward with force; Rotates slightly to provide additional torque and contribute to the throwing motion; Shifts weight and extends for balance, supporting the force generated during the throw; Acts as a pivot, facilitating the rotation of the body and contributing to the throwing force.	
sit down: Nods forward as the body prepares to lower, maintaining awareness of the surroundings; May extend backward to support the body during the descent, aiding in balance; Relaxes or provides support, adjusting to maintain stability during the sitting motion; Bends as the body descends, directing the movement and determining the sitting posture; Flexes at the knee, lowering the body gently and ensuring a controlled sitting motion; May pivot or adjust position to find a comfortable and stable seating arrangement.
stand up: Lifts upward, signaling the body to transition from a seated to a standing position; May push off a surface or the thighs, aiding in the upward movement; Extends for balance or leverage, supporting the body during the standing motion; Straightens, initiating the upward movement and contributing to the overall posture; Extends at the knee, pushing the body upward and supporting the weight during standing; Pushes against the ground, providing a stable base for the body to rise.	
clapping: Nods or remains steady, expressing enthusiasm or rhythm during clapping; Repeatedly comes together with another, creating a distinct sound while showing appreciation; Moves rhythmically, bringing hands together to produce the clapping motion; May sway or move subtly, contributing to the overall expression of joy or rhythm; Stays grounded or may tap lightly to the beat, adding to the overall body movement; May lift slightly or tap in sync with the clapping, enhancing the rhythmic expression.	
reading: Steady, focused on the reading material, occasionally tilting or nodding in understanding; Holds and turns pages or scrolls, interacting with the reading material; Supports and maneuvers the reading material, maintaining a comfortable posture; Typically stationary, providing support while seated or standing during the reading activity; May be crossed or comfortably positioned, contributing to overall body comfort; Generally at rest or tapping lightly, reflecting concentration or engagement in the reading.	
