drink water:The head tilts back slightly as the person opens their mouth to receive water; The hand holds a water container, bringing it to the mouth for drinking; The arm raises the water container, allowing a controlled flow for drinking; The hip maintains a balanced posture, supporting the body during the act of drinking; The leg may shift weight for comfort, contributing to a stable drinking position; The foot remains grounded, providing stability while consuming water.
eat meal: Nods or tilts slightly to bring food to the mouth; Grasps utensils or food, guiding it to the mouth; Moves in a coordinated motion to bring food to the mouth; Sits comfortably, supporting the upper body during the meal; Maintains a stable position or may assist in reaching for items; Rests on the ground, providing stability during the eating process.
brush teeth: Leans slightly forward, moving side to side to reach all areas while brushing teeth; Grips the toothbrush firmly, executing precise back-and-forth and circular motions; Coordinates controlled movements, ensuring thorough coverage during the tooth-brushing process; Maintains a steady standing posture, allowing flexibility to reach different parts of the mouth; Stands in a balanced position, providing support and stability during the teeth-brushing activity; Rests on the ground, contributing to overall body balance during the oral hygiene routine.
brush hair: Tilted slightly to one side, creating space for smooth and precise hair brushing; Holds the hairbrush with a comfortable grip, guiding it through the hair strands; Executes controlled and rhythmic brushing motions, ensuring even distribution of strokes; Maintains a relaxed and balanced stance, facilitating ease of movement during hair brushing; Supports weight evenly, providing stability for a comfortable and effective hair brushing experience; Grounded for balance, contributing to a stable posture while brushing hair.
drop: Observes the intended drop location, determining the precise moment for release; Opens to release the held object, guiding its descent with controlled motion; Coordinates with the hand, ensuring a controlled and intentional drop of the object; Maintains stability, allowing the upper body to execute a controlled dropping action; Provides a foundation for balance, aiding in a stable dropping posture; Adjusts subtly for balance, contributing to a controlled and intentional dropping movement. 	
pick up: Nods or tilts down, signaling the intention to pick up an object from the ground; Extends downward, fingers opening to grasp the target object firmly; Performs a controlled downward motion, guiding the hand to the desired pickup location; May slightly shift or pivot to facilitate reaching the object without straining the back; Bends at the knee, providing stability and support during the bending motion; Adjusts position, ensuring a balanced stance while preparing to pick up the object.
throw: Turns and tilts to focus on the target, aligning with the intention to throw; Grips the object firmly, executes a controlled release with precision and force; Extends backward, then propels forward in a coordinated motion for an effective throw; Rotates and shifts weight for balance and power generation during the throwing motion; Provides a strong base, contributes to the forward force, and aids in the follow-through; Pivots and pushes off the ground, enhancing the power and accuracy of the throw. 	
sit down: Tilts slightly forward, signaling the intention to sit and aligning with the motion; Lowers to reach a stable surface or hovers for balance during the sitting process; Bends at the elbow as the hand supports the body while lowering to the seated position; Shifts weight backward, initiating the descent and ensuring a controlled sitting movement; Bends at the knee, lowering the body gradually until a seated position is reached; Stays grounded for stability or repositions for comfort during the sit-down action.
stand up: Lifts upward, aligning with the body's vertical movement during the standing process; May press against a surface or move forward, aiding in the upward push; Extends or pushes down to support the body's ascent and maintain balance; Straightens as the body rises, initiating the standing motion and adjusting posture; Extends at the knee, providing the primary force for lifting the body into a standing position; Adjusts its position for stability, facilitating a smooth and controlled standing movement.	
clapping: May tilt slightly forward, following the rhythm and focus on the clapping action; Palms come together in a repeated motion, creating the clapping sound; Moves rhythmically in and out, coordinating with the hand movements during clapping; Can sway or move subtly, adding a dynamic element to the overall clapping gesture; May lift slightly or tap the foot, contributing to the body's engagement in the clapping; Provides grounding, supporting the body's movement and rhythm while clapping.	
reading: Bowed or upright, focused on the reading material with an engaged expression; Holding a book or device, turning pages, or scrolling through text with precision; Positioned to support the reading material, providing stability and control; May be seated with an upright posture or standing, depending on the reading context; Positioned comfortably, whether crossed while seated or maintaining balance while standing; Grounded and relaxed, contributing to overall stability and comfort during the reading activity. 	
writing: Focused, looking down at the writing surface, occasionally lifting to gather thoughts; Grips writing instrument, moves with precision, creating strokes and forming characters; Moves fluidly, guiding the hand in writing, adjusting pressure for varied strokes; May be seated with stability or standing, supporting the upper body during writing; Position may vary, providing balance and stability during the writing process; Generally at rest, supporting overall body posture during the writing activity.
tear up paper: Expresses determination or frustration, occasionally looking down at the paper being torn; Grasps and crumples the paper, demonstrating strength and control during tearing; Engages in a tearing motion, showcasing a deliberate and forceful movement; Position varies, depending on whether the person is standing or seated during the action; May shift weight or posture for better tearing leverage, depending on the individual's preference; Typically stable and at rest, providing balance during the tearing activity.	
put on jacket: Tilts slightly forward as the hands raise the jacket over the shoulders; Grasps the jacket, smoothly guiding it onto the opposite arm; Extends outward, allowing the hand to slide the jacket onto the shoulder; Shifts slightly to accommodate the movement of the arms and torso; Takes a step forward or shifts weight to aid in maintaining balance; Lifts slightly to facilitate the movement of the leg during the action.	
