drink water: The head tilts backward, allowing the mouth to receive and swallow refreshing water; The hand lifts a water container or glass, guiding it toward the mouth for drinking; The arm smoothly raises the water container, facilitating a comfortable drinking posture; The hip may slightly adjust for balance as the body leans forward for a drink; The leg remains stable, supporting the body weight during the act of drinking; The foot stays grounded, contributing to stability while sipping water for hydration.
eat meal: Tilts slightly downward, mouth opens and closes rhythmically, showing the process of eating; Grips utensils or food, bringing it toward the mouth with coordinated movements; Moves in a repetitive motion, conveying the act of raising and lowering utensils or food; Sits or adjusts posture comfortably, supporting the overall eating activity; May tap or sway gently, indicating relaxation or engagement in the meal; Rests on the ground, stable and grounded, contributing to a seated position during eating.
brush teeth: Leans slightly forward, maintaining a focused and precise angle for effective tooth brushing; Holds the toothbrush with a controlled grip, moving it skillfully across the teeth; Performs controlled brushing motions, ensuring thorough coverage of all tooth surfaces; Stands or positions the body comfortably, contributing to stability during teeth brushing; Maintains a balanced stance, supporting the body weight during the brushing activity; Grounded for stability, providing a solid foundation for the overall brushing process.
brush hair: Tilts slightly for ease of access, allowing the brush to move through hair smoothly; Holds the hairbrush with a firm grip, controlling the strokes to detangle and style; Executes fluid and controlled movements, guiding the brush through the strands effortlessly; Maintains a comfortable standing or sitting position, contributing to stability during hair brushing; Provides support and balance, ensuring a steady posture while brushing and styling hair; Grounded for stability, enhancing overall balance and coordination during the hair brushing process.
drop: Turns slightly downward to observe the release, ensuring a controlled and intentional drop; Opens the palm, releasing the held object with a deliberate and controlled motion; Lowers gradually, contributing to a smooth and controlled descent of the dropped item; Maintains stability, adjusting balance as needed during the dropping motion; Provides support and stability, ensuring a controlled drop without imbalance; May adjust for balance, especially when dropping objects requiring precise placement or impact.	
pick up: Tilts slightly downward, indicating visual focus on the object to be picked up; Extends with fingers flexing, ready to grasp and secure the object during the pick-up motion; Executes a coordinated reaching motion, extending towards the target object for retrieval; May shift slightly to provide balance and support as the body adjusts for the pick-up action; Engages in a controlled bend or step, facilitating a stable posture during the picking-up process; Adjusts positioning for stability, ensuring a firm foundation for the pick-up movement.
throw: Turns and focuses on the target, aligning with the intended trajectory of the throw; Grips the object firmly, initiates the throwing motion, and imparts spin for accuracy; Extends and propels forward, providing the force and direction for the throw; Rotates slightly, transferring energy from the lower body to enhance the throw; Pushes off the ground, generating power for the throw and contributing to the follow-through; Pivots or lifts, aiding in the rotational movement and providing stability during the throw. 	
sit down: Nods slightly, indicating the intention to sit, while maintaining awareness of surroundings; Lowers naturally, possibly assisting the descent or supporting body weight during the motion; Relaxes and adjusts position, contributing to a smooth and controlled descent to the seating position; Bends, initiating the sitting motion, and aligns with the chosen seating surface; Flexes at the knee and hip joints, lowering the body gracefully to achieve a seated position; Shifts weight, ensuring a stable and balanced seating posture during the sitting action.
stand up: Lifts upward, aligning with the body's upward motion, signaling the initiation of standing; Pushes off a supporting surface or extends for balance as the body rises; Engages in a supportive role, aiding the upward movement and maintaining balance; Straightens and extends, contributing to the overall elevation during the standing motion; Extends at the knee, propelling the body upward and supporting the standing posture; Pushes against the surface, providing a stable base for the body during the standing action.	
clapping: May incline slightly forward, expressing engagement and rhythm with the clapping motion; Palms come together in a repeated, rhythmic motion to create the clapping sound; Raises and lowers with each clap, contributing to the fluidity and energy of the action; Adds a subtle sway or movement, enhancing the overall expression of joy or celebration; May lift slightly, coordinating with the rhythm of the clapping for a dynamic effect; Taps the ground or moves in sync with the clapping, amplifying the engagement in the action.
reading: Inclines slightly or remains focused, following the lines of text on a surface; Holds a book, device, or paper, turning pages or scrolling to read content; Extends and positions to support the reading material, facilitating a comfortable reading posture; May adjust for comfort, providing stability while sitting or standing during reading; Positioned comfortably, allowing for a relaxed or engaged posture while reading; Rests or adjusts position subtly, contributing to overall comfort during the reading activity.	
writing: Bowed or tilted down, focused on the writing surface, occasionally lifting to think; Holds writing instrument, making deliberate and controlled movements to form letters; Moves in coordination with the hand, guiding the writing instrument across the surface; Often seated, providing a stable base for writing; may shift for comfort; Positioned comfortably, supporting the seated posture during the writing activity; Generally at rest or tapping lightly, contributing to overall body comfort.
tear up paper: Expressive, possibly showing emotions like frustration or determination while tearing the paper; Grasps and manipulates the paper, tearing it into smaller pieces with controlled movements; Engages in deliberate tearing movements, adjusting force based on desired paper separation; May influence body posture, depending on whether the person is standing, sitting, or moving; Offers stability and balance, especially if the person is standing or shifting weight during tearing; Generally at rest, providing foundational support during the paper-tearing action.	
put on jacket: Tilts slightly forward, anticipating sleeve entry; Grasps jacket sleeve, preparing for smooth insertion; Slides into the sleeve, achieving snug fit; Shifts to accommodate jacket contour, ensuring proper alignment; Takes a step forward for balance and ease; Lifts slightly for a seamless jacket entry.	
take off jacket: Tilt slightly down, signaling the intention to remove the jacket; Grasp jacket's hem, initiating upward motion for removal; Glide arms out of sleeves with controlled movement; Slightly shift weight for balance during jacket removal; Maintain stability with controlled weight distribution; Pivot as needed for balance while actively disengaging from the jacket.	
put on a shoe: May tilt down or focus on the shoe, indicating the intention to put it on; Grasps the shoe, providing control and precision during the fitting process; Executes coordinated movements, guiding the shoe onto the foot comfortably; May slightly shift for balance as the foot is raised to insert into the shoe; Lifts and positions, aiding in smoothly sliding the foot into the shoe; Actively involved, entering the shoe with adjustments for proper fit and comfort.
take off a shoe: Tilts downward, signaling the intention to remove the shoe; Grips the shoe, fingers working to loosen any fastenings or laces; Executes deliberate movements, facilitating the removal of the shoe; May shift for balance, depending on whether standing or sitting during the process; Raises, allowing easy access to the foot for the removal of the shoe; Lifts and extends outward, assisting in the removal of the shoe.
put on glasses: Tilts slightly upward, creating space for the glasses to be placed comfortably; Holds the glasses with precision, ready to put them on; Executes a controlled movement, guiding the glasses to the face; Maintains stability, possibly adjusting posture for a smooth action; Offers support, ensuring balance during the glasses-wearing process; Remains stationary, contributing to overall stability while putting on glasses.	
take off glasses: Tilts slightly backward, allowing a clear view during the removal process; Grasps the glasses firmly, initiating the action of taking them off; Moves with a controlled motion, guiding the glasses away from the face; May shift slightly for balance, depending on whether standing or sitting; Provides stability, supporting the body during the glasses removal; Maintains balance, contributing to a smooth execution of the action.	
put on a hat/cap: Lifts slightly to allow the hat to be placed comfortably on the head; Holds the hat securely, positioning it for placement on the head; Performs a controlled motion, guiding the hat onto the head; May shift slightly for balance, depending on whether standing or sitting; Adjusts weight distribution for stability during the hat placement; Maintains support, contributing to overall balance while putting on the hat.
take off a hat/cap: Tilts slightly backward, creating space between the head and the hat for removal; Grasps the brim or top of the hat, initiating the action of taking it off; Performs a controlled motion, smoothly lifting the hat away from the head; May adjust for balance, depending on whether standing or sitting during the action; Maintains stability, supporting the body during the process of removing the hat; Provides a stable base, contributing to overall balance during the hat removal.	
cheer up: Lifts with enthusiasm, showing a positive and cheerful expression; Raises in the air, clapping or gesturing to express encouragement and happiness; Swings upward in celebratory motions, adding energy to the cheering gesture; May sway side to side rhythmically, contributing to the overall joyful movement; Jumps or bounces, indicating excitement and high spirits during the cheering; Stamps or taps on the ground, adding a rhythmic element to the cheerful expression.	
hand waving: Turns slightly to follow the movement, showcasing engagement and friendliness; Waves in a rhythmic and friendly manner, expressing a greeting or signaling; Swings back and forth, creating a fluid and noticeable waving motion; May tilt or shift slightly, adding a natural flow to the overall movement; Stays relatively stable, providing a grounded base for the waving action; May pivot or lift subtly, contributing to the balanced and coordinated wave.	
kicking something: Focuses on the target, maintaining balance and coordination during the kicking motion; Can provide support or balance, with the possibility of being clenched into a fist; May swing backward for momentum before the kick, contributing to the force; Rotates to generate power and direction, guiding the kicking movement; Elevates and extends forward with precision, making contact with the target; Makes direct contact with the object, showcasing the force and intent behind the kick.
reach into pocket: Tilts slightly or turns to observe the pocket, indicating awareness and intention; Extends toward the pocket with fingers ready to grasp the desired item; Reaches with a smooth and controlled motion, aligning with the pocket's location; Might shift or rotate slightly to facilitate the reaching motion comfortably; May adjust posture for balance, depending on the depth or location of the pocket; Remains stable, providing a supportive base during the reaching action.	
hopping: Leans forward slightly, following the upward movement during the hop; Swings naturally, balancing the body's motion while hopping; Bends at the elbow, aiding in the upward and downward movement of the hop; Lifts during the hop, contributing to the overall elevation of the body; Initiates the hop, extending and bending to propel the body upward; Pushes off the ground, providing the necessary force for the hopping action.	
jump up: Lifts upward with a gaze directed toward the intended jump height; Arms swing downward before extending upward in sync with the jump; Bends at the elbow during the descent and extends upward during the jump; Engages in a powerful upward thrust, contributing to the jump's height; Pushes off the ground, propelling the body upward in a coordinated effort; Leaves the ground, showcasing the takeoff phase of the jumping action.	
