drink water: The head tilts back slightly, allowing the mouth to open for water intake; The hand holds a drinking vessel, guiding it toward the mouth for sipping; The arm performs a controlled motion, raising and lowering the container during sipping; The hip maintains a relaxed stance, supporting the body's balance while drinking water; The leg might shift weight for comfort, adapting to different postures while sipping; The foot remains grounded, contributing to overall stability during the drinking process.
eat meal: The head tilts slightly forward as the person brings the food to the mouth; The hand skillfully holds utensils, conveying precision in grasping and manipulating food; The arm smoothly moves, guiding the hand to transport food from plate to mouth; The hip remains stable, providing a base for the upper body's coordinated movements during eating; The leg posture may vary, adapting to sitting or standing positions for comfortable meal consumption; The foot's role is supportive, maintaining balance and posture during the act of eating.
brush teeth: Leans slightly forward, tilting to access different areas of the mouth during brushing; Grips the toothbrush, moving it skillfully in circular or back-and-forth motions; Performs controlled movements, allowing the hand to reach all teeth effectively; Maintains a steady stance, providing balance and support during the brushing routine; Stands or balances on one foot, adjusting for comfort while brushing; Stays grounded, contributing to overall stability during the teeth-brushing activity.
brush hair: Tilts slightly for easy access, positioning the hairbrush to groom and style hair; Holds the hairbrush with a firm grip, maneuvering it skillfully through the hair; Executes controlled and precise movements, ensuring effective and smooth hair brushing; Maintains a comfortable stance, allowing flexibility for reaching different areas while brushing hair; Supports the body weight evenly, contributing to stability during the hair grooming process; Grounded for balance, providing a foundation for maintaining an upright posture while brushing hair.
drop: Observes the target location before initiating the dropping action for accuracy; Releases the held object with controlled motion, ensuring a gentle descent to the surface; Coordinates with the hand, providing the necessary force for a controlled and deliberate drop; Maintains balance during the dropping action, adjusting body position if needed; Stabilizes the body, supporting the dropping motion with a firm and controlled stance; Adjusts positioning for stability, completing the dropping action with a steady and controlled impact.
pick up: Nods or tilts slightly to locate the object on the ground, signaling the intent to pick up; Extends and opens to grasp the object, demonstrating precision and coordination in the picking-up motion; Bends at the elbow, bringing the hand closer to the ground or surface for efficient picking up; May shift slightly to one side to facilitate reaching down or bending for picking up an item; Flexes at the knee, assisting in the lowering of the body for better reach during the pick-up action; May pivot or reposition to support balance as the body leans or bends while picking up.
throw: Turns toward the target, aligning with the intended direction for an accurate throw; Grips the object firmly, creating the necessary force for an effective throw; Extends backward, storing energy before swiftly releasing for a powerful throw; Rotates in the direction of the throw, contributing to the overall body movement; Pushes off the ground, transferring force and adding momentum to the throw; Follows through, ensuring stability and balance after completing the throwing motion.	
sit down: Nods slightly as the body prepares to descend, maintaining awareness of surroundings; May assist in the motion, guiding towards a stable sitting position; Flexes at the elbow, aiding in the controlled lowering of the body; Initiates the downward movement, bending to lower the body toward the seating surface; Bends at the knee, supporting the body's descent to achieve a seated position; Grounds the body, maintaining balance and stability during the sitting process.
stand up: Lifts upright, aligning with the body's upward movement to observe surroundings confidently; Pushes against a surface or uses armrests for support during the standing process; Engages muscles to assist in lifting the body, extending for balance and stability; Straightens, propelling the body upward and contributing to the overall standing posture; Extends at the knee, pushing the body upward and initiating the standing motion; Plants firmly on the ground, providing a stable base for the body to stand.	
clapping: May tilt slightly forward, expressing engagement and rhythm with the clapping motion; Palms come together repeatedly, creating the clapping sound in celebration or rhythm; Moves rhythmically, coordinating with hand movements for a synchronized clapping action; May sway or move subtly, adding a sense of rhythm and expression to the clapping; Optional movements, such as tapping or bouncing, contribute to the overall rhythm; Can tap or lift, complementing the upper body's clapping movements with lower body engagement.	
reading: Inclines or remains steady, focused on the reading material with attention to details; Holds the reading material, turns pages, or points to specific text, actively engaged; Supports the reading process, providing stability and control over the reading material; May shift slightly for comfort, maintaining a relaxed posture during the reading activity; May cross over or stay comfortably grounded, allowing for a relaxed reading position; Remains stationary or may gently tap, expressing subtle engagement in the reading activity. 	
writing: Focused on the writing surface, occasionally lifting to ponder or scan surroundings; Grips writing utensil, fluidly forming letters or shapes on the writing surface; Moves rhythmically, guiding the hand to create precise and controlled writing; Generally stationary, providing a stable base for the writing activity; May be comfortably positioned, contributing to overall body stability during writing; Typically at rest, allowing the upper body to focus on the fine motor skill of writing.
